,country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population
0,China,"81,218","3,281",,"73,650",4,47,"1,399","4,287",56
1,Italy,"74,386","7,503",,"9,362",683,"5,210","3,489","57,521","1,230"
2,USA,"63,098",886,,393,106,"8,242","1,382","61,819",191
3,Spain,"47,611","3,445",,"5,367",454,"5,553","2,636","38,799","1,018"
4,Germany,"37,323",206,,"3,547",47,"4,332",23,"33,570",445
5,Iran,"27,017","2,077",,"9,625",143,"2,206",0,"15,315",322
6,France,"25,233","1,331",,"3,900",231,"2,929","2,827","20,002",387
7,Switzerland,"10,897",153,,131,31,"1,020",141,"10,613","1,259"
8,S. Korea,"9,137",126,,"3,730",6,100,59,"5,281",178
9,UK,"8,264",435,,135,13,187,20,"7,694",122
10,Netherlands,"6,412",356,,3,80,852,582,"6,053",374
11,Austria,"5,588",30,,9,2,305,28,"5,549",620
12,Belgium,"4,937",178,,547,56,668,474,"4,212",426
13,Canada,"3,290",30,,185,4,498,1,"3,075",87
14,Norway,"3,066",14,,6,2,200,57,"3,046",566
15,Portugal,"2,995",43,,22,10,633,61,"2,930",294
16,Sweden,"2,526",44,,16,4,227,158,"2,466",250
17,Australia,"2,431",9,,118,1,114,11,"2,304",95
18,Israel,"2,369",5,,58,2,439,37,"2,306",274
19,Brazil,"2,297",48,,2,2,50,18,"2,247",11
20,Turkey,"1,872",44,,26,0,0,136,"1,802",22
21,Malaysia,"1,796",20,,199,4,172,64,"1,577",55
22,Denmark,"1,724",34,,1,2,133,69,"1,689",298
23,Czechia,"1,654",6,,10,3,260,19,"1,638",154
24,Luxembourg,"1,333",8,,6,0,234,3,"1,319","2,129"
25,Ireland,"1,329",7,,5,0,0,29,"1,317",269
26,Japan,"1,307",45,,310,2,114,57,952,10
27,Ecuador,"1,173",28,,3,1,91,2,"1,142",66
28,Chile,"1,142",3,,22,1,220,7,"1,117",60
29,Pakistan,"1,063",8,,21,1,91,5,"1,034",5
30,Poland,"1,031",14,,2,4,130,3,"1,015",27
31,Thailand,934,4,,70,0,107,11,860,13
32,Romania,906,14,,86,2,112,18,806,47
33,Saudi Arabia,900,2,,29,1,133,0,869,26
34,Finland,880,3,,10,2,88,22,867,159
35,Greece,821,22,,36,2,78,53,763,79
36,Indonesia,790,58,,31,3,104,0,701,3
37,Iceland,737,2,,56,0,89,11,679,"2,160"
38,Diamond Princess,712,10,,587,0,0,15,115,0
39,South Africa,709,0,,12,0,155,2,697,12
40,Russia,658,3,,29,2,163,8,626,5
41,India,653,12,,43,2,117,0,598,0.5
42,Philippines,636,38,,26,3,84,1,572,6
43,Singapore,631,2,,160,0,73,17,469,108
44,Qatar,537,0,,41,0,11,6,496,186
45,Slovenia,528,5,,10,1,48,14,513,254
46,Peru,480,9,,1,2,64,9,470,15
47,Colombia,470,4,,8,1,92,0,458,9
48,Egypt,456,21,,95,1,54,0,340,4
49,Panama,443,8,,1,2,0,33,434,103
50,Croatia,442,1,,22,0,60,6,419,108
51,Bahrain,419,4,,177,1,27,2,238,246
52,Hong Kong,410,4,,102,0,23,4,304,55
53,Mexico,405,5,,4,1,38,1,396,3
54,Estonia,404,1,,8,1,35,5,395,305
55,Dominican Republic,392,10,,3,4,80,0,379,36
56,Argentina,387,8,,52,2,0,0,327,9
57,Serbia,384,4,,15,1,81,21,365,44
58,Iraq,346,29,,103,2,30,0,214,9
59,Lebanon,333,6,,20,2,15,4,307,49
60,UAE,333,2,,52,0,85,2,279,34
61,Algeria,302,21,,65,2,38,0,216,7
62,Lithuania,274,4,,1,2,65,1,269,101
63,Armenia,265,0,,16,0,16,6,249,89
64,Bulgaria,242,3,,4,0,24,8,235,35
65,Taiwan,235,2,,29,0,19,0,204,10
66,Hungary,226,10,,21,1,39,6,195,23
67,Morocco,225,6,,7,1,55,1,212,6
68,Latvia,221,0,,1,0,24,0,220,117
69,Slovakia,216,0,,7,0,12,2,209,40
70,New Zealand,205,0,,22,0,0,0,183,43
71,Costa Rica,201,2,,2,0,24,4,197,39
72,Kuwait,195,0,,43,0,4,6,152,46
73,Uruguay,189,0,,0,0,0,3,189,54
74,Andorra,188,1,,1,0,24,6,186,"2,433"
75,San Marino,187,21,,4,0,0,12,162,"5,511"
76,North Macedonia,177,3,,1,1,29,1,173,85
77,Tunisia,173,5,,2,1,59,11,166,15
78,Bosnia and Herzegovina,173,3,,2,0,5,1,168,53
79,Jordan,172,0,,1,0,18,0,171,17
80,Moldova,149,1,,2,0,24,20,146,37
81,Albania,146,5,,17,0,23,3,124,51
82,Vietnam,141,0,,17,0,7,3,124,1
83,Cyprus,132,3,,3,0,8,3,126,109
84,Faeroe Islands,132,0,,38,0,10,2,94,"2,701"
85,Malta,129,0,,2,0,19,1,127,292
86,Ukraine,116,4,,1,1,14,0,111,3
87,Burkina Faso,114,4,,7,0,0,0,103,5
88,Réunion,111,0,,1,0,17,0,110,124
89,Brunei,109,0,,2,0,5,1,107,249
90,Sri Lanka,102,0,,3,0,0,2,99,5
91,Oman,99,0,,17,0,15,0,82,19
92,Senegal,99,0,,9,0,13,0,90,6
93,Cambodia,96,0,,10,0,5,1,86,6
94,Azerbaijan,93,2,,10,1,6,6,81,9
95,Venezuela,91,0,,15,0,7,2,76,3
96,Belarus,86,0,,29,0,5,2,57,9
97,Afghanistan,84,2,,2,1,10,0,80,2
98,Kazakhstan,80,0,,0,0,8,0,80,4
99,Cameroon,75,1,,2,0,9,0,72,3
100,Georgia,75,0,,10,0,5,1,65,19
101,Guadeloupe,73,1,,0,0,0,4,72,182
102,Ivory Coast,73,0,,2,0,0,0,71,3
103,Ghana,68,3,,0,1,15,0,65,2
104,Palestine,64,1,,16,1,4,0,47,13
105,Trinidad and Tobago,60,0,,0,0,3,0,60,43
106,Uzbekistan,60,0,,0,0,10,4,60,2
107,Cuba,57,1,,1,0,9,2,55,5
108,Martinique,57,1,,0,0,0,7,56,152
109,Montenegro,52,1,,0,0,5,0,51,83
110,Liechtenstein,51,0,,0,0,0,0,51,"1,338"
111,DRC,48,2,,0,0,3,0,46,0.5
112,Mauritius,48,2,,0,0,6,1,46,38
113,Nigeria,46,1,,2,0,2,0,43,0.2
114,Kyrgyzstan,44,0,,0,0,2,0,44,7
115,Rwanda,40,0,,0,0,0,0,40,3
116,Bangladesh,39,5,,7,1,0,0,27,0.2
117,Channel Islands,39,0,,0,0,3,0,39,224
118,Paraguay,37,3,,0,1,10,1,34,5
119,Honduras,36,0,,0,0,6,0,36,4
120,Mayotte,36,0,,0,0,0,0,36,132
121,Bolivia,32,0,,0,0,3,0,32,3
122,Macao,30,0,,10,0,1,0,20,46
123,Kenya,28,0,,1,0,3,0,27,0.5
124,Monaco,27,0,,1,0,4,0,26,688
125,Gibraltar,26,0,,5,0,11,0,21,772
126,Jamaica,25,1,,2,0,4,0,22,8
127,French Polynesia,25,0,,0,0,0,0,25,89
128,Guatemala,24,1,,4,0,3,0,19,1
129,French Guiana,23,0,,6,0,0,0,17,77
130,Isle of Man,23,0,,0,0,0,0,23,270
131,Togo,23,0,,1,0,3,0,22,3
132,Madagascar,19,0,,0,0,2,0,19,0.7
133,Barbados,18,0,,0,0,0,0,18,63
134,Aruba,17,0,,1,0,0,0,16,159
135,New Caledonia,14,0,,0,0,4,0,14,49
136,Uganda,14,0,,0,0,5,0,14,0.3
137,Maldives,13,0,,8,0,0,0,5,24
138,Ethiopia,12,0,,0,0,0,0,12,0.1
139,Tanzania,12,0,,0,0,0,0,12,0.2
140,Zambia,12,0,,0,0,9,0,12,0.7
141,Djibouti,11,0,,0,0,8,0,11,11
142,Mongolia,10,0,,0,0,0,0,10,3
143,El Salvador,9,0,,0,0,4,0,9,1
144,Equatorial Guinea,9,0,,0,0,0,0,9,6
145,Saint Martin,8,0,,0,0,0,0,8,207
146,Suriname,8,0,,0,0,1,0,8,14
147,Niger,7,1,,0,1,4,0,6,0.3
148,Dominica,7,0,,0,0,0,0,7,97
149,Haiti,7,0,,0,0,0,0,7,0.6
150,Namibia,7,0,,2,0,0,0,5,3
151,Seychelles,7,0,,0,0,0,0,7,71
152,Cayman Islands,6,1,,0,0,0,0,5,91
153,Curaçao,6,1,,0,0,0,0,5,37
154,Gabon,6,1,,0,0,0,0,5,3
155,Benin,6,0,,0,0,0,0,6,0.5
156,Bermuda,6,0,,0,0,0,0,6,96
157,Greenland,6,0,,2,0,1,0,4,106
158,Guyana,5,1,,0,0,0,0,4,6
159,Bahamas,5,0,,1,0,0,0,4,13
160,Fiji,5,0,,0,0,1,0,5,6
161,Mozambique,5,0,,0,0,2,0,5,0.2
162,Syria,5,0,,0,0,4,0,5,0.3
163,Cabo Verde,4,1,,0,0,1,0,3,7
164,Congo,4,0,,0,0,0,0,4,0.7
165,Guinea,4,0,,0,0,0,0,4,0.3
166,Vatican City,4,0,,0,0,0,0,4,"4,994"
167,Eswatini,4,0,,0,0,0,0,4,3
168,Gambia,3,1,,0,0,0,0,2,1
169,Sudan,3,1,,0,0,0,0,2,0.07
170,Zimbabwe,3,1,,0,0,0,0,2,0.2
171,Nepal,3,0,,1,0,1,0,2,0.1
172,Angola,3,0,,0,0,0,0,3,0.09
173,Antigua and Barbuda,3,0,,0,0,0,0,3,31
174,CAR,3,0,,0,0,0,0,3,0.6
175,Chad,3,0,,0,0,0,0,3,0.2
176,Laos,3,0,,0,0,1,0,3,0.4
177,Liberia,3,0,,0,0,0,0,3,0.6
178,Myanmar,3,0,,0,0,0,0,3,0.06
179,St. Barth,3,0,,0,0,0,0,3,304
180,Saint Lucia,3,0,,0,0,0,0,3,16
181,Sint Maarten,3,0,,0,0,1,0,3,70
182,Bhutan,2,0,,0,0,0,0,2,3
183,Guinea-Bissau,2,0,,0,0,2,0,2,1
184,Mali,2,0,,0,0,2,0,2,0.10
185,Mauritania,2,0,,0,0,0,0,2,0.4
186,Nicaragua,2,0,,0,0,0,0,2,0.3
187,Belize,1,0,,0,0,0,0,1,3
188,Eritrea,1,0,,0,0,0,0,1,0.3
189,Grenada,1,0,,0,0,0,0,1,9
190,Libya,1,0,,0,0,0,0,1,0.1
191,Montserrat,1,0,,0,0,0,0,1,200
192,Papua New Guinea,1,0,,0,0,0,0,1,0.1
193,St. Vincent Grenadines,1,0,,0,0,0,0,1,9
194,Somalia,1,0,,0,0,0,0,1,0.06
195,Timor-Leste,1,0,,0,0,0,0,1,0.8
196,Turks and Caicos,1,0,,0,0,0,0,1,26
