,country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population
77,North Macedonia,285,7,,12,1,26,1,266,137
78,Azerbaijan,273,4,,26,0,64,23,243,27
79,Kuwait,266,0,,72,0,11,13,194,62
80,Moldova,263,2,,13,0,0,33,248,65
81,Jordan,259,4,,18,1,0,3,237,25
82,San Marino,230,25,,13,3,6,16,192,"6,778"
83,Albania,223,11,,44,1,11,7,168,77
84,Burkina Faso,222,12,,23,0,0,0,187,11
85,Cyprus,214,6,,15,0,0,3,193,177
86,Vietnam,203,0,,55,0,9,3,148,2
87,Réunion,183,0,,1,0,0,0,182,204
88,Oman,179,0,,29,0,12,3,150,35
89,Faeroe Islands,168,0,,70,0,9,1,98,"3,438"
90,Ivory Coast,165,1,,4,0,0,0,160,6
91,Senegal,162,0,,27,0,20,0,135,10
92,Malta,156,0,,2,0,5,4,154,353
93,Ghana,152,5,,2,0,0,1,145,5
94,Belarus,152,0,,32,0,58,2,120,16
95,Uzbekistan,149,2,,7,0,5,8,140,4
96,Cameroon,139,6,,5,0,0,0,128,5
97,Cuba,139,3,,4,0,0,2,132,12
98,Honduras,139,3,,3,0,29,4,133,14
99,Brunei,127,1,,38,0,1,3,88,290
100,Sri Lanka,122,1,,15,0,5,5,106,6
101,Afghanistan,120,4,,2,0,0,0,114,3
102,Venezuela,119,3,,39,0,0,6,77,4
103,Palestine,115,1,,18,0,6,0,96,23
104,Nigeria,111,1,,3,0,0,0,107,0.5
105,Mauritius,110,3,,0,0,3,1,107,86
106,Channel Islands,108,2,,0,0,0,0,106,621
107,Cambodia,107,0,,21,0,4,1,86,6
108,Guadeloupe,106,4,,17,0,0,10,85,265
109,Georgia,98,0,,18,0,7,6,80,25
110,Bolivia,96,3,,0,2,15,3,93,8
111,Kyrgyzstan,94,0,,0,0,10,0,94,14
112,Martinique,93,1,,0,0,0,12,92,248
113,Montenegro,91,1,,0,0,6,1,90,145
114,Mayotte,82,0,,10,0,19,3,72,301
115,DRC,81,8,,2,0,0,0,71,0.9
116,Trinidad and Tobago,78,3,,1,0,0,0,74,56
117,Rwanda,70,0,,0,0,0,0,70,5
118,Gibraltar,65,0,,14,0,0,0,51,"1,929"
119,Paraguay,64,3,,1,0,5,3,60,9
120,Liechtenstein,62,0,,0,0,6,0,62,"1,626"
121,Kenya,50,1,,1,0,8,2,48,0.9
122,Aruba,50,0,,1,0,0,0,49,468
123,Bangladesh,49,5,,19,0,1,1,25,0.3
124,Monaco,46,1,,1,0,0,0,44,"1,172"
125,Isle of Man,46,0,,0,0,4,0,46,541
126,French Guiana,43,0,,6,0,0,0,37,144
127,Madagascar,39,0,,0,0,0,0,39,1
128,Macao,38,0,,10,0,1,0,28,59
129,Guatemala,36,1,,10,0,2,1,25,2
130,French Polynesia,35,0,,0,0,5,2,35,125
131,Jamaica,34,1,,2,0,2,0,31,11
132,Barbados,33,0,,0,0,0,0,33,115
133,Uganda,33,0,,0,0,0,0,33,0.7
134,Togo,30,1,,1,0,5,0,28,4
135,El Salvador,30,0,,0,0,6,0,30,5
136,Zambia,29,0,,0,0,0,0,29,2
137,Mali,25,2,,0,1,7,0,23,1
138,Ethiopia,23,0,,1,0,2,0,22,0.2
139,Niger,22,3,,0,2,4,0,19,0.9
140,Bermuda,22,0,,2,0,0,0,20,353
141,Congo,19,0,,0,0,0,0,19,3
142,Tanzania,19,0,,1,0,5,0,18,0.3
143,Djibouti,18,0,,0,0,0,0,18,18
144,Maldives,17,0,,13,0,0,0,4,31
145,Guinea,16,0,,0,0,0,0,16,1
146,Saint Martin,15,1,,2,1,4,0,12,388
147,Haiti,15,0,,1,0,0,0,14,1
148,New Caledonia,15,0,,0,0,0,0,15,53
149,Bahamas,14,0,,1,0,0,0,13,36
150,Cayman Islands,12,1,,0,0,0,0,11,183
151,Equatorial Guinea,12,0,,0,0,0,0,12,9
152,Eritrea,12,0,,0,0,0,0,12,3
153,Mongolia,12,0,,2,0,0,0,10,4
154,Dominica,11,0,,0,0,0,0,11,153
155,Namibia,11,0,,2,0,0,0,9,4
156,Greenland,10,0,,2,0,0,0,8,176
157,Myanmar,10,0,,0,0,0,0,10,0.2
158,Syria,9,1,,0,0,0,0,8,0.5
159,Grenada,9,0,,0,0,0,0,9,80
160,Saint Lucia,9,0,,1,0,0,0,8,49
161,Eswatini,9,0,,0,0,0,0,9,8
162,Curaçao,8,1,,2,0,0,0,5,49
163,Guyana,8,1,,0,0,0,0,7,10
164,Laos,8,0,,0,0,0,0,8,1
165,Libya,8,0,,0,0,0,0,8,1
166,Mozambique,8,0,,0,0,0,0,8,0.3
167,Seychelles,8,0,,0,0,0,0,8,81
168,Suriname,8,0,,0,0,0,0,8,14
169,Angola,7,2,,0,0,0,0,5,0.2
170,Gabon,7,1,,0,0,0,0,6,3
171,Zimbabwe,7,1,,0,0,0,0,6,0.5
172,Antigua and Barbuda,7,0,,0,0,0,0,7,71
173,Saint Kitts and Nevis,7,0,,0,0,5,0,7,132
174,Sudan,6,2,,0,1,0,0,4,0.1
175,Cabo Verde,6,1,,0,0,0,0,5,11
176,Benin,6,0,,0,0,0,0,6,0.5
177,Vatican City,6,0,,0,0,0,0,6,"7,491"
178,Sint Maarten,6,0,,0,0,0,0,6,140
179,Nepal,5,0,,1,0,0,0,4,0.2
180,Fiji,5,0,,0,0,0,0,5,6
181,Mauritania,5,0,,2,0,0,0,3,1
182,Montserrat,5,0,,0,0,0,0,5,"1,002"
183,St. Barth,5,0,,0,0,0,0,5,506
184,Gambia,4,1,,0,0,0,0,3,2
185,Nicaragua,4,1,,0,0,0,0,3,0.6
186,Bhutan,4,0,,0,0,0,0,4,5
187,Turks and Caicos,4,0,,0,0,0,0,4,103
188,CAR,3,0,,0,0,0,0,3,0.6
189,Chad,3,0,,0,0,0,0,3,0.2
190,Liberia,3,0,,0,0,0,0,3,0.6
191,Somalia,3,0,,0,0,0,0,3,0.2
192,MS Zaandam,2,0,,0,0,0,0,2,0
193,Anguilla,2,0,,0,0,0,0,2,133
194,Belize,2,0,,0,0,0,0,2,5
195,British Virgin Islands,2,0,,0,0,0,0,2,66
196,Guinea-Bissau,2,0,,0,0,0,0,2,1
197,Papua New Guinea,1,0,,0,0,0,0,1,0.1
198,St. Vincent Grenadines,1,0,,1,0,0,0,0,9
199,Timor-Leste,1,0,,0,0,0,0,1,0.8
200,China,"81,470","3,304",,"75,700",4,31,633,"2,466",57
