,country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population
0,China,"81,340","3,292",,"74,588",5,55,"1,034","3,460",57
1,USA,"85,377","1,295",,"1,868",268,"17,166","2,122","82,214",258
2,Italy,"80,589","8,215",,"10,361",712,"6,203","3,612","62,013","1,333"
3,Spain,"57,786","4,365",,"7,015",718,"8,271","3,166","46,406","1,236"
4,Germany,"43,938",267,,"5,673",61,"6,615",23,"37,998",524
5,Iran,"29,406","2,234",,"10,457",157,"2,389","2,746","16,715",350
6,France,"29,155","1,696",,"4,948",365,"3,922","3,375","22,511",447
7,Switzerland,"11,811",191,,131,38,914,141,"11,489","1,365"
8,UK,"11,658",578,,135,115,"2,129",163,"10,945",172
9,S. Korea,"9,241",131,,"4,144",5,104,59,"4,966",180
10,Netherlands,"7,431",434,,3,78,"1,019",761,"6,994",434
11,Austria,"6,909",49,,112,18,"1,321",96,"6,748",767
12,Belgium,"6,235",220,,675,42,"1,298",605,"5,340",538
13,Canada,"4,043",39,,228,3,634,120,"3,776",107
14,Turkey,"3,629",75,,26,16,"1,196",136,"3,528",43
15,Portugal,"3,544",60,,43,17,549,61,"3,441",348
16,Norway,"3,370",14,,6,0,286,70,"3,350",622
17,Australia,"3,050",13,,170,2,374,23,"2,867",120
18,Brazil,"2,985",77,,6,18,431,18,"2,902",14
19,Sweden,"2,840",77,,16,15,314,200,"2,747",281
20,Israel,"2,693",8,,68,3,324,46,"2,617",311
21,Malaysia,"2,031",23,,215,3,235,45,"1,793",63
22,Czechia,"1,925",9,,10,3,271,34,"1,906",180
23,Denmark,"1,877",41,,1,7,153,94,"1,835",324
24,Ireland,"1,819",19,,5,10,255,47,"1,795",368
25,Luxembourg,"1,453",9,,6,1,120,3,"1,438","2,321"
26,Ecuador,"1,403",34,,3,5,192,58,"1,366",80
27,Japan,"1,387",47,,359,2,80,57,981,11
28,Chile,"1,306",4,,22,1,164,7,"1,280",68
29,Poland,"1,221",16,,7,2,170,3,"1,198",32
30,Pakistan,"1,201",9,,21,1,138,5,"1,171",5
31,Thailand,"1,045",4,,88,0,111,4,953,15
32,Romania,"1,029",23,,94,6,123,29,912,53
33,Saudi Arabia,"1,012",3,,33,1,112,6,976,29
34,Finland,958,5,,10,2,78,24,943,173
35,South Africa,927,0,,12,0,218,2,915,16
36,Indonesia,893,78,,35,20,103,0,780,3
37,Greece,892,27,,36,5,71,53,829,86
38,Russia,840,3,,38,0,182,8,799,6
39,Iceland,802,2,,82,0,65,11,718,"2,350"
40,India,727,20,,45,8,70,0,662,0.5
41,Diamond Princess,712,10,,597,0,0,15,105,0
42,Philippines,707,45,,28,7,71,1,634,6
43,Singapore,683,2,,172,0,52,17,509,117
44,Panama,674,9,,2,1,116,20,663,156
45,Argentina,589,12,,72,4,87,0,505,13
46,Peru,580,9,,14,0,100,14,557,18
47,Slovenia,562,6,,10,1,34,14,546,270
48,Qatar,549,0,,43,0,12,6,506,191
49,Estonia,538,1,,8,0,134,6,529,406
50,Egypt,495,24,,102,3,39,0,369,5
51,Croatia,495,3,,22,2,53,14,470,121
52,Colombia,491,6,,8,2,21,0,477,10
53,Dominican Republic,488,10,,3,0,96,0,475,45
54,Mexico,475,6,,4,1,70,1,465,4
55,Bahrain,458,4,,204,0,39,1,250,269
56,Serbia,457,7,,15,3,73,21,435,52
57,Hong Kong,453,4,,110,0,42,5,339,60
58,Iraq,382,36,,105,7,36,0,241,9
59,Lebanon,368,6,,23,0,35,3,339,54
60,New Zealand,368,0,,37,0,85,1,331,76
61,Algeria,367,25,,29,4,65,0,313,8
62,UAE,333,2,,52,0,0,2,279,34
63,Lithuania,299,4,,1,0,25,1,294,110
64,Armenia,290,1,,18,1,25,6,271,98
65,Morocco,275,11,,8,5,50,1,256,7
66,Bulgaria,264,3,,8,0,22,8,253,38
67,Hungary,261,10,,28,0,35,6,223,27
68,Taiwan,252,2,,29,0,17,0,221,11
69,Latvia,244,0,,1,0,23,0,243,129
70,Uruguay,238,0,,0,0,21,3,238,69
71,Costa Rica,231,2,,2,0,30,5,227,45
72,Slovakia,226,0,,2,0,10,2,224,41
73,Andorra,224,3,,1,2,36,6,220,"2,899"
74,Jordan,212,0,,1,0,40,0,211,21
75,San Marino,208,21,,4,0,0,12,183,"6,130"
76,Kuwait,208,0,,49,0,13,7,159,49
77,North Macedonia,201,3,,3,0,24,1,195,96
78,Tunisia,197,5,,2,0,24,10,190,17
79,Ukraine,196,5,,1,0,51,0,190,4
80,Bosnia and Herzegovina,191,3,,2,0,15,1,186,58
81,Moldova,177,1,,2,0,28,28,174,44
82,Albania,174,6,,17,1,28,3,151,60
83,Vietnam,153,0,,20,0,5,3,133,2
84,Burkina Faso,152,7,,10,3,6,0,135,7
85,Cyprus,146,3,,4,0,14,3,139,121
86,Faeroe Islands,140,0,,47,0,8,0,93,"2,865"
87,Réunion,135,0,,1,0,24,0,134,151
88,Malta,134,0,,2,0,5,1,132,303
89,Ghana,132,4,,1,0,64,0,127,4
90,Azerbaijan,122,3,,15,1,29,6,104,12
91,Brunei,114,0,,5,0,5,1,109,261
92,Kazakhstan,113,1,,2,1,32,0,110,6
93,Oman,109,0,,23,0,10,0,86,21
94,Venezuela,107,0,,15,0,1,2,92,4
95,Sri Lanka,106,0,,7,0,4,3,99,5
96,Senegal,105,0,,9,0,6,0,96,6
97,Cambodia,98,0,,10,0,2,1,88,6
98,Ivory Coast,96,0,,3,0,16,0,93,4
99,Afghanistan,94,4,,2,2,10,0,88,2
100,Belarus,86,0,,29,0,0,2,57,9
101,Palestine,84,1,,17,0,13,0,66,16
102,Mauritius,81,2,,0,0,33,1,79,64
103,Martinique,81,1,,0,0,15,12,80,216
104,Georgia,79,0,,11,0,4,1,68,20
105,Cameroon,75,1,,2,0,0,0,72,3
106,Uzbekistan,75,0,,0,0,15,4,75,2
107,Guadeloupe,73,1,,0,0,0,4,72,182
108,Montenegro,69,1,,0,0,16,1,68,110
109,Cuba,67,2,,1,1,10,2,64,6
110,Honduras,67,1,,0,1,15,0,66,7
111,Channel Islands,66,1,,0,1,20,0,65,380
112,Nigeria,65,1,,3,0,14,0,61,0.3
113,Trinidad and Tobago,65,1,,0,0,5,0,64,46
114,Bolivia,61,0,,0,0,29,0,61,5
115,Liechtenstein,56,0,,0,0,5,0,56,"1,469"
116,DRC,51,3,,0,1,3,0,48,0.6
117,Rwanda,50,0,,0,0,9,0,50,4
118,Bangladesh,44,5,,11,0,5,1,28,0.3
119,Kyrgyzstan,44,0,,0,0,0,0,44,7
120,Paraguay,41,3,,0,0,4,1,38,6
121,Mayotte,36,0,,0,0,0,0,36,132
122,Gibraltar,35,0,,13,0,9,0,22,"1,039"
123,Monaco,33,0,,1,0,2,0,32,841
124,Kenya,31,1,,1,1,3,0,29,0.6
125,Macao,31,0,,10,0,0,0,21,48
126,French Polynesia,30,0,,0,0,5,0,30,107
127,Aruba,28,0,,1,0,9,0,27,262
128,French Guiana,28,0,,6,0,0,0,22,94
129,Jamaica,26,1,,2,0,0,0,23,9
130,Guatemala,25,1,,4,0,1,0,20,1
131,Isle of Man,25,0,,0,0,2,0,25,294
132,Barbados,24,0,,0,0,6,0,24,84
133,Togo,24,0,,1,0,1,0,23,3
134,Madagascar,23,0,,0,0,4,0,23,0.8
135,Zambia,16,0,,0,0,4,0,16,0.9
136,Bermuda,15,0,,2,0,8,0,13,241
137,New Caledonia,14,0,,0,0,0,0,14,49
138,Uganda,14,0,,0,0,0,0,14,0.3
139,El Salvador,13,0,,0,0,4,0,13,2
140,Maldives,13,0,,8,0,0,0,5,24
141,Tanzania,13,0,,0,0,0,0,13,0.2
142,Equatorial Guinea,12,0,,0,0,3,0,12,9
143,Ethiopia,12,0,,0,0,0,0,12,0.1
144,Djibouti,11,0,,0,0,0,0,11,11
145,Dominica,11,0,,0,0,0,0,11,153
146,Mongolia,11,0,,0,0,1,0,11,3
147,Saint Martin,11,0,,0,0,0,0,11,284
148,Niger,10,1,,0,0,3,0,9,0.4
149,Bahamas,9,0,,1,0,4,0,8,23
150,Cayman Islands,8,1,,0,0,0,0,7,122
151,Haiti,8,0,,0,0,0,0,8,0.7
152,Namibia,8,0,,2,0,1,0,6,3
153,Suriname,8,0,,0,0,0,0,8,14
154,Curaçao,7,1,,2,0,1,0,4,43
155,Gabon,7,1,,0,0,1,0,6,3
156,Antigua and Barbuda,7,0,,0,0,4,0,7,71
157,Grenada,7,0,,0,0,6,0,7,62
158,Mozambique,7,0,,0,0,2,0,7,0.2
159,Seychelles,7,0,,0,0,0,0,7,71
160,Benin,6,0,,0,0,0,0,6,0.5
161,Eritrea,6,0,,0,0,2,0,6,2
162,Greenland,6,0,,2,0,0,0,4,106
163,Laos,6,0,,0,0,3,0,6,0.8
164,Eswatini,6,0,,0,0,2,0,6,5
165,Cabo Verde,5,1,,0,0,1,0,4,9
166,Guyana,5,1,,0,0,0,0,4,6
167,Fiji,5,0,,0,0,0,0,5,6
168,Montserrat,5,0,,0,0,4,0,5,"1,002"
169,Myanmar,5,0,,0,0,2,0,5,0.09
170,Syria,5,0,,0,0,0,0,5,0.3
171,Angola,4,0,,0,0,1,0,4,0.1
172,Congo,4,0,,0,0,0,0,4,0.7
173,Guinea,4,0,,0,0,0,0,4,0.3
174,Vatican City,4,0,,0,0,0,0,4,"4,994"
175,Mali,4,0,,0,0,2,0,4,0.2
176,Gambia,3,1,,0,0,0,0,2,1
177,Sudan,3,1,,0,0,0,0,2,0.07
178,Zimbabwe,3,1,,0,0,0,0,2,0.2
179,Nepal,3,0,,1,0,0,0,2,0.1
180,CAR,3,0,,0,0,0,0,3,0.6
181,Chad,3,0,,0,0,0,0,3,0.2
182,Liberia,3,0,,0,0,0,0,3,0.6
183,Mauritania,3,0,,0,0,1,0,3,0.6
184,St. Barth,3,0,,0,0,0,0,3,304
185,Saint Lucia,3,0,,1,0,0,0,2,16
186,Sint Maarten,3,0,,0,0,0,0,3,70
187,Anguilla,2,0,,0,0,2,0,2,133
188,Belize,2,0,,0,0,0,0,2,5
189,Bhutan,2,0,,0,0,0,0,2,3
190,British Virgin Islands,2,0,,0,0,0,0,2,66
191,Guinea-Bissau,2,0,,0,0,0,0,2,1
192,Nicaragua,2,0,,0,0,0,0,2,0.3
193,Saint Kitts and Nevis,2,0,,0,0,0,0,2,38
194,Somalia,2,0,,0,0,1,0,2,0.1
195,Turks and Caicos,2,0,,0,0,1,0,2,52
196,Libya,1,0,,0,0,0,0,1,0.1
197,Papua New Guinea,1,0,,0,0,0,0,1,0.1
198,St. Vincent Grenadines,1,0,,0,0,0,0,1,9
199,Timor-Leste,1,0,,0,0,0,0,1,0.8
